         31511131 function calls (31313021 primitive calls) in 76.056 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 managers.py:186(_rebuild_blknos_and_blklocs)
        3    0.000    0.000    0.000    0.000 managers.py:206(items)
        2    0.000    0.000    0.000    0.000 managers.py:291(__len__)
        1    0.000    0.000    0.000    0.000 managers.py:306(_verify_integrity)
        2    0.000    0.000    0.000    0.000 managers.py:308(<genexpr>)
        2    0.000    0.000    0.000    0.000 managers.py:591(is_consolidated)
        1    0.000    0.000    0.000    0.000 managers.py:599(_consolidate_check)
        1    0.000    0.000    0.000    0.000 managers.py:600(<listcomp>)
        1    0.000    0.000    0.000    0.000 managers.py:736(as_array)
        2    0.000    0.000    0.000    0.000 managers.py:911(consolidate)
        1    0.000    0.000    0.000    0.000 managers.py:927(_consolidate_inplace)
        1    0.000    0.000    0.000    0.000 managers.py:97(__init__)
        1    0.000    0.000    0.000    0.000 managers.py:98(<listcomp>)
    89304    2.358    0.000   47.441    0.001 mean_field.py:102(_compute_message)
    89304    0.194    0.000    0.194    0.000 mean_field.py:114(<listcomp>)
      122    0.000    0.000    0.000    0.000 mean_field.py:12(default_message_name)
        6    0.006    0.001    0.014    0.002 mean_field.py:120(_is_converged)
        1    0.001    0.001    0.252    0.252 mean_field.py:20(__init__)
        1    0.728    0.728   74.957   74.957 mean_field.py:40(run)
        6    0.004    0.001    0.015    0.002 mean_field.py:42(<dictcomp>)
        1    0.195    0.195    1.912    1.912 mean_field.py:72(get_logZ)
     7503    0.015    0.000    0.015    0.000 mean_field.py:78(<listcomp>)
        6    1.309    0.218   70.578   11.763 mean_field.py:84(_update_mean_fields)
        2    0.000    0.000    0.001    0.000 missing.py:105(_isna_new)
        2    0.000    0.000    0.000    0.000 missing.py:183(_isna_ndarraylike)
        2    0.000    0.000    0.001    0.000 missing.py:25(isna)
        2    0.000    0.000    0.000    0.000 missing.py:360(array_equivalent)
        1    0.000    0.000    0.000    0.000 missing.py:530(clean_reindex_fill_method)
        1    0.000    0.000    0.000    0.000 missing.py:71(clean_fill_method)
    92354    0.039    0.000    0.039    0.000 multiarray.py:1043(copyto)
        1    0.000    0.000    0.000    0.000 multiarray.py:1078(putmask)
        6    0.000    0.000    0.000    0.000 multiarray.py:1309(may_share_memory)
    96076    0.034    0.000    0.034    0.000 multiarray.py:145(concatenate)
      732    0.000    0.000    0.000    0.000 multiarray.py:77(empty_like)
        1    0.000    0.000    0.000    0.000 nanops.py:180(_get_fill_value)
        1    0.000    0.000    0.001    0.001 nanops.py:203(_get_values)
        1    0.000    0.000    0.000    0.000 nanops.py:270(_na_ok_dtype)
        1    0.000    0.000    0.001    0.001 nanops.py:337(nanany)
        3    0.000    0.000    0.000    0.000 numeric.py:113(is_all_dates)
    89426    0.294    0.000    1.692    0.000 numeric.py:166(ones)
        2    0.000    0.000    0.000    0.000 numeric.py:2295(_array_equal_dispatcher)
        2    0.000    0.000    0.000    0.000 numeric.py:2299(array_equal)
      732    0.000    0.000    0.000    0.000 numeric.py:337(_full_like_dispatcher)
        3    0.000    0.000    0.000    0.000 numeric.py:34(__new__)
      732    0.003    0.000    0.015    0.000 numeric.py:341(full_like)
